Tempo (s);Carga (g);Posicao (mm)
1,672;51,3;23,4
1,672;51,3;23,4
1,686;51,7;23,4
1,686;51,7;23,4
1,686;51,7;23,4
1,698;52,2;23,4
1,698;52,2;23,4
1,698;52,2;23,4
1,711;52,6;23,4
1,711;52,6;23,4
1,711;52,6;23,4
1,724;53,1;23,4
1,724;53,1;23,4
1,724;53,1;23,4
1,737;53,5;23,4
1,737;53,5;23,4
1,737;53,5;23,4
1,749;54;23,3
1,749;54;23,3
1,749;54;23,3
1,763;54,5;23,3
1,763;54,5;23,3
1,763;54,5;23,3
1,776;55;23,3
1,776;55;23,3
1,776;55;23,3
1,788;55,4;23,3
1,788;55,4;23,3
1,788;55,4;23,3
1,801;55,9;23,3
1,801;55,9;23,3
1,801;55,9;23,3
1,814;56,4;23,3
1,814;56,4;23,3
1,814;56,4;23,3
1,827;56,9;23,3
1,827;56,9;23,3
1,827;56,9;23,3
1,839;57,4;23,2
1,839;57,4;23,2
1,839;57,4;23,2
1,853;57,9;23,2
1,853;57,9;23,2
1,853;57,9;23,2
1,865;58,4;23,2
1,865;58,4;23,2
1,865;58,4;23,2
1,878;58,9;23,2
1,878;58,9;23,2
1,878;58,9;23,2
1,891;59,4;23,2
1,891;59,4;23,2
1,891;59,4;23,2
1,904;60;23,2
1,904;60;23,2
1,904;60;23,2
1,917;60,5;23,2
1,917;60,5;23,2
1,917;60,5;23,2
1,929;61;23,2
1,929;61;23,2
1,929;61;23,2
1,943;61,4;23,1
1,943;61,4;23,1
1,943;61,4;23,1
1,955;61,9;23,1
1,955;61,9;23,1
1,955;61,9;23,1
1,968;62,4;23,1
1,968;62,4;23,1
1,968;62,4;23,1
1,981;62,9;23,1
1,981;62,9;23,1
1,981;62,9;23,1
1,994;63,4;23,1
1,994;63,4;23,1
1,994;63,4;23,1
2,006;63,8;23,1
2,006;63,8;23,1
2,006;63,8;23,1
2,02;64,3;23,1
2,02;64,3;23,1
2,02;64,3;23,1
2,032;64,7;23,1
2,032;64,7;23,1
2,032;64,7;23,1
2,045;65,2;23
2,045;65,2;23
2,045;65,2;23
2,058;65,6;23
2,058;65,6;23
2,058;65,6;23
2,071;66,1;23
2,071;66,1;23
2,071;66,1;23
2,084;66,6;23
2,084;66,6;23
2,084;66,6;23
2,096;67;23
2,096;67;23
2,096;67;23
2,11;67,5;23
2,11;67,5;23
2,11;67,5;23
2,122;68;23
2,122;68;23
2,122;68;23
2,135;68,5;23
2,135;68,5;23
2,135;68,5;23
2,148;69;22,9
2,148;69;22,9
2,148;69;22,9
2,161;69,5;22,9
2,161;69,5;22,9
2,161;69,5;22,9
2,174;70;22,9
2,174;70;22,9
2,174;70;22,9
2,187;70,5;22,9
2,187;70,5;22,9
