Tempo (s);Carga (g);Posicao (mm)
1,705;417,8;16,8
1,718;420,6;16,7
1,718;420,6;16,7
1,718;420,6;16,7
1,732;423,4;16,6
1,732;423,4;16,6
1,732;423,4;16,6
1,745;426,3;16,6
1,745;426,3;16,6
1,745;426,3;16,6
1,758;429,1;16,5
1,758;429,1;16,5
1,758;429,1;16,5
1,772;432;16,4
1,772;432;16,4
1,772;432;16,4
1,785;434,9;16,4
1,785;434,9;16,4
1,785;434,9;16,4
1,798;437,9;16,3
1,798;437,9;16,3
1,798;437,9;16,3
1,812;440,8;16,2
1,812;440,8;16,2
1,812;440,8;16,2
1,825;443,8;16,2
1,825;443,8;16,2
1,825;443,8;16,2
1,838;446,8;16,1
1,838;446,8;16,1
1,838;446,8;16,1
1,852;449,8;16
1,852;449,8;16
1,852;449,8;16
1,865;452,7;16
1,865;452,7;16
1,865;452,7;16
1,878;455,7;15,9
1,878;455,7;15,9
1,878;455,7;15,9
1,892;458,6;15,8
1,892;458,6;15,8
1,892;458,6;15,8
1,905;461,6;15,8
1,905;461,6;15,8
1,905;461,6;15,8
1,919;464,5;15,7
1,919;464,5;15,7
1,919;464,5;15,7
1,933;467,5;15,6
1,933;467,5;15,6
1,933;467,5;15,6
1,946;470,5;15,6
1,946;470,5;15,6
1,946;470,5;15,6
1,959;473,5;15,5
1,959;473,5;15,5
1,959;473,5;15,5
1,972;476,6;15,4
1,972;476,6;15,4
1,972;476,6;15,4
1,986;479,6;15,4
1,986;479,6;15,4
1,986;479,6;15,4
1,999;482,7;15,3
1,999;482,7;15,3
1,999;482,7;15,3
2,012;485,8;15,2
2,012;485,8;15,2
2,012;485,8;15,2
2,028;489;15,2
2,028;489;15,2
2,028;489;15,2
2,041;492,2;15,2
2,041;492,2;15,2
2,041;492,2;15,2
2,054;495,1;15,3
2,054;495,1;15,3
2,054;495,1;15,3
2,069;497,6;15,4
2,069;497,6;15,4
2,069;497,6;15,4
2,082;499,5;15,5
2,082;499,5;15,5
2,082;499,5;15,5
2,095;500,6;15,5
2,095;500,6;15,5
2,095;500,6;15,5
2,109;500,7;15,6
2,109;500,7;15,6
2,109;500,7;15,6
2,121;499,6;15,6
2,121;499,6;15,6
2,121;499,6;15,6
2,134;497,2;15,7
2,134;497,2;15,7
2,134;497,2;15,7
2,148;493,2;15,8
2,148;493,2;15,8
2,148;493,2;15,8
2,161;488;15,8
2,161;488;15,8
2,161;488;15,8
2,174;481,4;15,9
2,174;481,4;15,9
2,174;481,4;15,9
2,187;473,7;16
2,187;473,7;16
2,187;473,7;16
2,201;464,8;16
2,201;464,8;16
2,201;464,8;16
2,215;454,8;16,1
2,215;454,8;16,1
2,215;454,8;16,1
2,228;443,8;16,2
2,228;443,8;16,2
2,228;443,8;16,2
2,242;431,7;16,2
2,242;431,7;16,2
2,242;431,7;16,2
2,255;418,8;16,3
2,255;418,8;16,3
2,255;418,8;16,3
2,268;405,2;16,4
2,268;405,2;16,4
2,268;405,2;16,4
2,282;391,2;16,4
2,282;391,2;16,4
2,282;391,2;16,4
2,295;377,1;16,5
2,295;377,1;16,5
2,295;377,1;16,5
2,308;363;16,6
2,308;363;16,6
2,308;363;16,6
2,322;349,2;16,6
2,322;349,2;16,6
2,322;349,2;16,6
2,335;335,8;16,7
2,335;335,8;16,7
2,335;335,8;16,7
2,348;323,1;16,8
2,348;323,1;16,8
2,348;323,1;16,8
2,363;311,1;16,8
2,363;311,1;16,8
2,363;311,1;16,8
2,376;299,8;16,9
2,376;299,8;16,9
2,376;299,8;16,9
2,389;289,1;17
2,389;289,1;17
2,389;289,1;17
2,403;278,9;17
2,403;278,9;17
2,403;278,9;17
2,416;269,2;17,1
2,416;269,2;17,1
2,416;269,2;17,1
2,429;259,9;17,2
2,429;259,9;17,2
2,429;259,9;17,2
2,442;251,1;17,2
2,442;251,1;17,2
2,442;251,1;17,2
2,456;242,7;17,3
2,456;242,7;17,3
2,456;242,7;17,3
2,469;234,5;17,4
2,469;234,5;17,4
2,469;234,5;17,4
2,482;226,7;17,4
2,482;226,7;17,4
2,482;226,7;17,4
2,496;219,2;17,5
2,496;219,2;17,5
2,496;219,2;17,5
2,509;212;17,6
2,509;212;17,6
2,509;212;17,6
2,522;205,1;17,6
2,522;205,1;17,6
2,522;205,1;17,6
2,536;198,3;17,7
2,536;198,3;17,7
2,536;198,3;17,7
2,549;191,8;17,8
2,549;191,8;17,8
2,549;191,8;17,8
2,562;185,6;17,8
2,562;185,6;17,8
2,562;185,6;17,8
2,576;179,6;17,9
2,576;179,6;17,9
2,576;179,6;17,9
2,589;173,8;18
2,589;173,8;18
2,589;173,8;18
2,602;168,3;18
2,602;168,3;18
2,602;168,3;18
2,616;162,9;18,1
