Tempo (s);Carga (g);Posicao (mm)
2,766;1091,5;19,7
2,766;1091,5;19,7
2,779;1081,8;19,8
2,779;1081,8;19,8
2,779;1081,8;19,8
2,794;1072;19,8
2,794;1072;19,8
2,794;1072;19,8
2,807;1062,2;19,9
2,807;1062,2;19,9
2,807;1062,2;19,9
2,821;1052,3;20
2,821;1052,3;20
2,821;1052,3;20
2,836;1042,5;20
2,836;1042,5;20
2,836;1042,5;20
2,849;1032,7;20,1
2,849;1032,7;20,1
2,849;1032,7;20,1
2,863;1023,2;20,2
2,863;1023,2;20,2
2,863;1023,2;20,2
2,877;1013,8;20,2
2,877;1013,8;20,2
2,877;1013,8;20,2
2,891;1004,4;20,3
2,891;1004,4;20,3
2,891;1004,4;20,3
2,904;995,1;20,4
2,904;995,1;20,4
2,904;995,1;20,4
2,919;985,9;20,4
2,919;985,9;20,4
2,919;985,9;20,4
2,933;976,6;20,5
2,933;976,6;20,5
2,933;976,6;20,5
2,947;967,5;20,6
2,947;967,5;20,6
2,947;967,5;20,6
2,961;958,5;20,6
2,961;958,5;20,6
2,961;958,5;20,6
2,975;949,5;20,7
2,975;949,5;20,7
2,975;949,5;20,7
2,989;940,5;20,8
2,989;940,5;20,8
2,989;940,5;20,8
3,004;931,6;20,9
3,004;931,6;20,9
3,004;931,6;20,9
3,017;922,9;20,9
3,017;922,9;20,9
3,017;922,9;20,9
3,031;914,2;21
3,031;914,2;21
3,031;914,2;21
3,046;905,6;21,1
3,046;905,6;21,1
3,046;905,6;21,1
3,06;897,1;21,1
3,06;897,1;21,1
3,06;897,1;21,1
3,073;888,6;21,2
3,073;888,6;21,2
3,073;888,6;21,2
3,088;880,2;21,3
3,088;880,2;21,3
3,088;880,2;21,3
3,102;871,8;21,3
3,102;871,8;21,3
3,102;871,8;21,3
3,115;863,4;21,4
3,115;863,4;21,4
3,115;863,4;21,4
3,13;855,2;21,5
3,13;855,2;21,5
3,13;855,2;21,5
3,144;846,9;21,5
3,144;846,9;21,5
3,144;846,9;21,5
3,158;838,7;21,6
3,158;838,7;21,6
3,158;838,7;21,6
3,172;830,5;21,7
3,172;830,5;21,7
3,172;830,5;21,7
3,186;822,4;21,7
3,186;822,4;21,7
3,186;822,4;21,7
3,2;814,2;21,8
3,2;814,2;21,8
3,2;814,2;21,8
3,215;806,2;21,9
3,215;806,2;21,9
3,215;806,2;21,9
3,228;798,1;21,9
3,228;798,1;21,9
3,228;798,1;21,9
3,242;790,1;22
3,242;790,1;22
3,242;790,1;22
3,257;782,1;22,1
3,257;782,1;22,1
3,257;782,1;22,1
3,271;774,1;22,1
3,271;774,1;22,1
3,271;774,1;22,1
3,284;766,1;22,2
3,284;766,1;22,2
3,284;766,1;22,2
3,299;758,3;22,3
3,299;758,3;22,3
3,299;758,3;22,3
3,313;750,4;22,3
3,313;750,4;22,3
3,313;750,4;22,3
3,326;742,5;22,4
3,326;742,5;22,4
3,326;742,5;22,4
3,341;734,7;22,5
3,341;734,7;22,5
3,341;734,7;22,5
3,355;726,9;22,5
3,355;726,9;22,5
3,355;726,9;22,5
3,369;719,1;22,6
3,369;719,1;22,6
3,369;719,1;22,6
3,383;711,4;22,7
3,383;711,4;22,7
3,383;711,4;22,7
3,397;703,7;22,8
3,397;703,7;22,8
3,397;703,7;22,8
3,411;696;22,8
3,411;696;22,8
3,411;696;22,8
3,426;688,5;22,9
3,426;688,5;22,9
3,426;688,5;22,9
3,439;681;23
3,439;681;23
3,439;681;23
3,453;673,5;23
3,453;673,5;23
3,453;673,5;23
3,467;666,1;23,1
3,467;666,1;23,1
3,467;666,1;23,1
3,481;658,8;23,2
3,481;658,8;23,2
3,481;658,8;23,2
3,495;651,4;23,2
3,495;651,4;23,2
3,495;651,4;23,2
3,509;644,2;23,3
3,509;644,2;23,3
3,509;644,2;23,3
3,524;637,1;23,4
3,524;637,1;23,4
3,524;637,1;23,4
3,537;629,9;23,5
3,537;629,9;23,5
3,537;629,9;23,5
3,551;622,8;23,5
3,551;622,8;23,5
3,551;622,8;23,5
3,566;615,8;23,6
3,566;615,8;23,6
3,566;615,8;23,6
3,58;608,7;23,7
3,58;608,7;23,7
3,58;608,7;23,7
3,593;601,7;23,7
3,593;601,7;23,7
3,593;601,7;23,7
3,608;594,7;23,8
3,608;594,7;23,8
3,608;594,7;23,8
3,622;587,7;23,9
3,622;587,7;23,9
3,622;587,7;23,9
3,636;580,7;23,9
3,636;580,7;23,9
3,636;580,7;23,9
3,65;573,8;24
3,65;573,8;24
3,65;573,8;24
3,664;566,9;24,1
3,664;566,9;24,1
3,664;566,9;24,1
3,678;560;24,1
3,678;560;24,1
3,678;560;24,1
3,692;553,1;24,2
3,692;553,1;24,2
3,692;553,1;24,2
3,706;546,3;24,3
3,706;546,3;24,3
3,706;546,3;24,3
3,72;539,6;24,3
3,72;539,6;24,3
3,72;539,6;24,3
3,735;532,8;24,4
3,735;532,8;24,4
3,735;532,8;24,4
3,748;526;24,5
3,748;526;24,5
3,748;526;24,5
3,762;519,4;24,5
3,762;519,4;24,5
3,762;519,4;24,5
3,777;512,8;24,6
3,777;512,8;24,6
3,777;512,8;24,6
3,791;506,1;24,7
3,791;506,1;24,7
3,791;506,1;24,7
3,804;499,6;24,8
3,804;499,6;24,8
3,804;499,6;24,8
3,819;493,1;24,8
3,819;493,1;24,8
3,819;493,1;24,8
3,833;486,7;24,9
3,833;486,7;24,9
3,833;486,7;24,9
3,846;480,4;25
3,846;480,4;25
3,846;480,4;25
3,861;474,1;25
3,861;474,1;25
3,861;474,1;25
3,875;467,9;25,1
3,875;467,9;25,1
3,875;467,9;25,1
3,889;461,7;25,2
3,889;461,7;25,2
3,889;461,7;25,2
3,903;455,6;25,2
3,903;455,6;25,2
3,903;455,6;25,2
3,917;449,6;25,3
3,917;449,6;25,3
3,917;449,6;25,3
3,931;443,6;25,4
3,931;443,6;25,4
3,931;443,6;25,4
3,946;437,6;25,4
3,946;437,6;25,4
3,946;437,6;25,4
3,959;431,6;25,5
3,959;431,6;25,5
3,959;431,6;25,5
3,973;425,8;25,6
3,973;425,8;25,6
3,973;425,8;25,6
3,988;419,9;25,6
3,988;419,9;25,6
3,988;419,9;25,6
4,002;414;25,7
4,002;414;25,7
4,002;414;25,7
4,015;408,3;25,8
4,015;408,3;25,8
4,015;408,3;25,8
4,03;402,5;25,9
4,03;402,5;25,9
4,03;402,5;25,9
4,044;396,7;25,9
4,044;396,7;25,9
4,044;396,7;25,9
4,057;391,1;26
4,057;391,1;26
4,057;391,1;26
4,072;385,4;26,1
4,072;385,4;26,1
4,072;385,4;26,1
4,086;379,7;26,1
4,086;379,7;26,1
4,086;379,7;26,1
4,1;374,1;26,2
4,1;374,1;26,2
4,1;374,1;26,2
4,114;368,5;26,3
4,114;368,5;26,3
4,114;368,5;26,3
4,128;363;26,3
4,128;363;26,3
4,128;363;26,3
4,142;357,5;26,4
4,142;357,5;26,4
4,142;357,5;26,4
4,156;352,1;26,5
4,156;352,1;26,5
4,156;352,1;26,5
4,17;346,7;26,5
4,17;346,7;26,5
4,17;346,7;26,5
4,184;341,4;26,6
4,184;341,4;26,6
4,184;341,4;26,6
4,198;336,1;26,7
4,198;336,1;26,7
4,198;336,1;26,7
4,212;330,8;26,7
4,212;330,8;26,7
4,212;330,8;26,7
4,226;325,6;26,8
4,226;325,6;26,8
4,226;325,6;26,8
4,241;320,5;26,9
4,241;320,5;26,9
4,241;320,5;26,9
4,254;315,4;26,9
4,254;315,4;26,9
4,254;315,4;26,9
4,268;310,3;27
4,268;310,3;27
4,268;310,3;27
4,283;305,2;27,1
4,283;305,2;27,1
4,283;305,2;27,1
4,296;300,2;27,1
4,296;300,2;27,1
4,296;300,2;27,1
4,31;295,2;27,2
4,31;295,2;27,2
4,31;295,2;27,2
4,325;290,3;27,3
4,325;290,3;27,3
4,325;290,3;27,3
4,339;285,3;27,4
4,339;285,3;27,4
4,339;285,3;27,4
4,352;280,3;27,4
4,352;280,3;27,4
4,352;280,3;27,4
4,367;275,4;27,5
4,367;275,4;27,5
4,367;275,4;27,5
4,381;270,5;27,6
4,381;270,5;27,6
4,381;270,5;27,6
4,395;265,7;27,6
4,395;265,7;27,6
4,395;265,7;27,6
4,409;261;27,7
4,409;261;27,7
4,409;261;27,7
4,423;256,3;27,7
4,423;256,3;27,7
4,423;256,3;27,7
4,437;251,6;27,8
4,437;251,6;27,8
4,437;251,6;27,8
4,451;247;27,9
4,451;247;27,9
4,451;247;27,9
4,465;242,5;28
4,465;242,5;28
4,465;242,5;28
4,479;238;28
4,479;238;28
4,479;238;28
4,494;233,5;28,1
4,494;233,5;28,1
4,494;233,5;28,1
4,507;229,1;28,2
4,507;229,1;28,2
4,507;229,1;28,2
4,521;224,7;28,2
4,521;224,7;28,2
