Tempo (s);Carga (g);Posicao (mm)
1,818;471;15,3
1,831;475,5;15,3
1,831;475,5;15,3
1,831;475,5;15,3
1,843;480;15,2
1,843;480;15,2
1,843;480;15,2
1,857;484,4;15,1
1,857;484,4;15,1
1,857;484,4;15,1
1,87;488,9;15,1
1,87;488,9;15,1
1,87;488,9;15,1
1,883;493,4;15
1,883;493,4;15
1,883;493,4;15
1,897;497,9;14,9
1,897;497,9;14,9
1,897;497,9;14,9
1,91;502,3;14,9
1,91;502,3;14,9
1,91;502,3;14,9
1,923;506,8;14,8
1,923;506,8;14,8
1,923;506,8;14,8
1,937;511,3;14,7
1,937;511,3;14,7
1,937;511,3;14,7
1,952;515,9;14,7
1,952;515,9;14,7
1,952;515,9;14,7
1,964;520,5;14,7
1,964;520,5;14,7
1,964;520,5;14,7
1,978;524,8;14,8
1,978;524,8;14,8
1,978;524,8;14,8
1,991;528,6;14,9
1,991;528,6;14,9
1,991;528,6;14,9
2,004;531,7;14,9
2,004;531,7;14,9
2,004;531,7;14,9
2,018;533,8;15
2,018;533,8;15
2,018;533,8;15
2,031;534,8;15,1
2,031;534,8;15,1
2,031;534,8;15,1
2,043;534,5;15,1
2,043;534,5;15,1
2,043;534,5;15,1
2,057;532,6;15,2
2,057;532,6;15,2
2,057;532,6;15,2
2,071;529,1;15,3
2,071;529,1;15,3
2,071;529,1;15,3
2,084;524,1;15,3
2,084;524,1;15,3
2,084;524,1;15,3
2,096;517,5;15,4
2,096;517,5;15,4
2,096;517,5;15,4
2,11;509,7;15,5
2,11;509,7;15,5
2,11;509,7;15,5
2,123;500,6;15,5
2,123;500,6;15,5
2,123;500,6;15,5
2,136;490,2;15,6
2,136;490,2;15,6
2,136;490,2;15,6
2,15;478,6;15,7
2,15;478,6;15,7
2,15;478,6;15,7
2,163;465,9;15,7
2,163;465,9;15,7
2,163;465,9;15,7
2,175;452,1;15,8
2,175;452,1;15,8
2,175;452,1;15,8
2,189;437,5;15,9
2,189;437,5;15,9
2,189;437,5;15,9
2,203;422,3;15,9
2,203;422,3;15,9
2,203;422,3;15,9
2,216;407;16
2,216;407;16
2,216;407;16
2,228;391,6;16,1
2,228;391,6;16,1
2,228;391,6;16,1
2,242;376,3;16,1
2,242;376,3;16,1
2,242;376,3;16,1
2,255;361,5;16,2
2,255;361,5;16,2
2,255;361,5;16,2
2,268;347,4;16,3
2,268;347,4;16,3
2,268;347,4;16,3
2,282;334;16,3
2,282;334;16,3
2,282;334;16,3
2,294;321,4;16,4
2,294;321,4;16,4
2,294;321,4;16,4
2,307;309,5;16,5
2,307;309,5;16,5
2,307;309,5;16,5
2,321;298,1;16,5
2,321;298,1;16,5
2,321;298,1;16,5
2,334;287,3;16,6
