Tempo (s);Carga (g);Posicao (mm)
2,442;368,3;17,4
2,442;368,3;17,4
2,442;368,3;17,4
2,455;355,2;17,5
2,455;355,2;17,5
2,455;355,2;17,5
2,468;342,8;17,6
2,468;342,8;17,6
2,468;342,8;17,6
2,482;330,8;17,6
2,482;330,8;17,6
2,482;330,8;17,6
2,495;319,3;17,7
2,495;319,3;17,7
2,495;319,3;17,7
2,508;308,3;17,8
2,508;308,3;17,8
2,508;308,3;17,8
2,522;297,8;17,8
2,522;297,8;17,8
2,522;297,8;17,8
2,536;287,8;17,9
2,536;287,8;17,9
2,536;287,8;17,9
2,549;278,1;17,9
2,549;278,1;17,9
2,549;278,1;17,9
2,563;268,9;18
2,563;268,9;18
2,563;268,9;18
2,576;260;18,1
2,576;260;18,1
2,576;260;18,1
2,589;251,5;18,1
2,589;251,5;18,1
2,589;251,5;18,1
2,602;243,3;18,2
2,602;243,3;18,2
2,602;243,3;18,2
2,616;235,4;18,3
2,616;235,4;18,3
2,616;235,4;18,3
2,629;227,7;18,3
2,629;227,7;18,3
2,629;227,7;18,3
2,642;220,3;18,4
2,642;220,3;18,4
2,642;220,3;18,4
2,656;213,1;18,5
2,656;213,1;18,5
2,656;213,1;18,5
2,669;206,2;18,5
2,669;206,2;18,5
2,669;206,2;18,5
2,683;199,5;18,6
2,683;199,5;18,6
2,683;199,5;18,6
2,697;193;18,7
2,697;193;18,7
2,697;193;18,7
2,71;186,7;18,7
2,71;186,7;18,7
2,71;186,7;18,7
2,723;180,7;18,8
2,723;180,7;18,8
2,723;180,7;18,8
2,737;174,8;18,9
2,737;174,8;18,9
2,737;174,8;18,9
2,75;169;18,9
2,75;169;18,9
2,75;169;18,9
2,763;163,4;19
2,763;163,4;19
2,763;163,4;19
2,777;157,9;19,1
2,777;157,9;19,1
2,777;157,9;19,1
2,79;152,7;19,1
2,79;152,7;19,1
2,79;152,7;19,1
2,803;147,5;19,2
2,803;147,5;19,2
2,803;147,5;19,2
2,816;142,6;19,3
2,816;142,6;19,3
2,816;142,6;19,3
2,83;137,7;19,3
2,83;137,7;19,3
2,83;137,7;19,3
2,843;133,1;19,4
2,843;133,1;19,4
2,843;133,1;19,4
2,856;128,6;19,5
2,856;128,6;19,5
2,856;128,6;19,5
2,87;124,2;19,5
2,87;124,2;19,5
2,87;124,2;19,5
2,883;120;19,6
2,883;120;19,6
2,883;120;19,6
2,896;115,9;19,7
2,896;115,9;19,7
2,896;115,9;19,7
2,91;111,9;19,7
2,91;111,9;19,7
2,91;111,9;19,7
2,923;108;19,8
2,923;108;19,8
2,923;108;19,8
2,936;104,3;19,9
2,936;104,3;19,9
2,936;104,3;19,9
2,95;100,7;19,9
2,95;100,7;19,9
2,95;100,7;19,9
2,963;97,2;20
2,963;97,2;20
2,963;97,2;20
2,977;93,8;20,1
2,977;93,8;20,1
2,977;93,8;20,1
2,991;90,6;20,1
2,991;90,6;20,1
2,991;90,6;20,1
3,004;87,4;20,2
3,004;87,4;20,2
3,004;87,4;20,2
3,017;84,3;20,3
3,017;84,3;20,3
3,017;84,3;20,3
3,029;81,3;20,3
3,029;81,3;20,3
3,029;81,3;20,3
3,043;78,4;20,4
3,043;78,4;20,4
3,043;78,4;20,4
3,056;75,5;20,5
3,056;75,5;20,5
3,056;75,5;20,5
3,069;72,8;20,5
3,069;72,8;20,5
3,069;72,8;20,5
3,083;70,1;20,6
3,083;70,1;20,6
3,083;70,1;20,6
3,096;67,5;20,7
3,096;67,5;20,7
3,096;67,5;20,7
3,109;64,9;20,7
3,109;64,9;20,7
3,109;64,9;20,7
3,123;62,4;20,8
3,123;62,4;20,8
3,123;62,4;20,8
3,136;60;20,9
3,136;60;20,9
3,136;60;20,9
3,149;57,7;20,9
3,149;57,7;20,9
3,149;57,7;20,9
3,163;55,4;21
3,163;55,4;21
3,163;55,4;21
3,176;53,2;21
3,176;53,2;21
3,176;53,2;21
3,188;51;21,1
3,188;51;21,1
3,188;51;21,1
3,202;48,9;21,2
3,202;48,9;21,2
3,202;48,9;21,2
3,215;46,8;21,2
3,215;46,8;21,2
3,215;46,8;21,2
3,228;44,8;21,3
3,228;44,8;21,3
3,228;44,8;21,3
3,241;42,9;21,4
3,241;42,9;21,4
3,241;42,9;21,4
3,255;41;21,4
3,255;41;21,4
3,255;41;21,4
3,268;39,2;21,5
3,268;39,2;21,5
3,268;39,2;21,5
3,281;37,4;21,6
3,281;37,4;21,6
3,281;37,4;21,6
3,295;35,6;21,6
3,295;35,6;21,6
3,295;35,6;21,6
3,308;33,9;21,7
3,308;33,9;21,7
3,308;33,9;21,7
3,321;32,3;21,8
3,321;32,3;21,8
3,321;32,3;21,8
3,334;30,7;21,8
3,334;30,7;21,8
3,334;30,7;21,8
3,347;29,2;21,9
3,347;29,2;21,9
3,347;29,2;21,9
3,36;27,7;22
3,36;27,7;22
3,36;27,7;22
3,374;26,2;22
3,374;26,2;22
3,374;26,2;22
3,387;24,8;22,1
3,387;24,8;22,1
3,387;24,8;22,1
3,4;23,5;22,2
3,4;23,5;22,2
3,4;23,5;22,2
3,413;22,2;22,2
3,413;22,2;22,2
3,413;22,2;22,2
3,427;20,9;22,3
3,427;20,9;22,3
3,427;20,9;22,3
3,44;19,6;22,4
3,44;19,6;22,4
3,44;19,6;22,4
3,453;18,5;22,4
3,453;18,5;22,4
3,453;18,5;22,4
3,467;17,3;22,5
3,467;17,3;22,5
3,467;17,3;22,5
3,48;16,3;22,6
3,48;16,3;22,6
3,48;16,3;22,6
3,492;15,2;22,6
3,492;15,2;22,6
3,492;15,2;22,6
3,506;14,2;22,7
3,506;14,2;22,7
3,506;14,2;22,7
3,519;13,2;22,7
3,519;13,2;22,7
3,519;13,2;22,7
3,532;12,2;22,8
3,532;12,2;22,8
3,532;12,2;22,8
3,546;11,3;22,9
3,546;11,3;22,9
3,546;11,3;22,9
3,559;10,5;22,9
3,559;10,5;22,9
3,559;10,5;22,9
3,572;9,6;23
3,572;9,6;23
3,572;9,6;23
3,586;8,8;23,1
3,586;8,8;23,1
3,586;8,8;23,1
3,599;8,1;23,1
3,599;8,1;23,1
3,599;8,1;23,1
3,612;7,4;23,2
3,612;7,4;23,2
3,612;7,4;23,2
3,625;6,7;23,3
3,625;6,7;23,3
3,625;6,7;23,3
3,639;6,1;23,3
3,639;6,1;23,3
3,639;6,1;23,3
3,651;5,5;23,4
3,651;5,5;23,4
3,651;5,5;23,4
3,664;4,9;23,5
3,664;4,9;23,5
