Tempo (s);Carga (g);Posicao (mm)
1,792;677,5;16,4
1,806;686,2;16,3
1,806;686,2;16,3
1,806;686,2;16,3
1,819;695;16,2
1,819;695;16,2
1,819;695;16,2
1,832;703,8;16,2
1,832;703,8;16,2
1,832;703,8;16,2
1,844;712,8;16,1
1,844;712,8;16,1
1,844;712,8;16,1
1,858;721,7;16
1,858;721,7;16
1,858;721,7;16
1,871;730,8;16
1,871;730,8;16
1,871;730,8;16
1,884;739,9;15,9
1,884;739,9;15,9
1,884;739,9;15,9
1,898;749,1;15,8
1,898;749,1;15,8
1,898;749,1;15,8
1,911;758,5;15,8
1,911;758,5;15,8
1,911;758,5;15,8
1,924;767,9;15,7
1,924;767,9;15,7
1,924;767,9;15,7
1,938;777,5;15,6
1,938;777,5;15,6
1,938;777,5;15,6
1,951;787,1;15,6
1,951;787,1;15,6
1,951;787,1;15,6
1,964;796,9;15,5
1,964;796,9;15,5
1,964;796,9;15,5
1,977;806,7;15,4
1,977;806,7;15,4
1,977;806,7;15,4
1,99;816,7;15,4
1,99;816,7;15,4
1,99;816,7;15,4
2,003;826,8;15,3
2,003;826,8;15,3
2,003;826,8;15,3
2,016;836,9;15,3
2,016;836,9;15,3
2,016;836,9;15,3
2,03;847,1;15,2
2,03;847,1;15,2
2,03;847,1;15,2
2,045;857,4;15,1
2,045;857,4;15,1
2,045;857,4;15,1
2,058;867,7;15,2
2,058;867,7;15,2
2,058;867,7;15,2
2,072;877,6;15,3
2,072;877,6;15,3
2,072;877,6;15,3
2,085;886,5;15,3
2,085;886,5;15,3
2,085;886,5;15,3
2,098;894;15,4
2,098;894;15,4
2,098;894;15,4
2,112;899,5;15,5
2,112;899,5;15,5
2,112;899,5;15,5
2,125;902,7;15,5
2,125;902,7;15,5
2,125;902,7;15,5
2,137;903,4;15,6
2,137;903,4;15,6
2,137;903,4;15,6
2,151;901,1;15,7
2,151;901,1;15,7
2,151;901,1;15,7
2,164;895,5;15,7
2,164;895,5;15,7
2,164;895,5;15,7
2,177;886,6;15,8
2,177;886,6;15,8
2,177;886,6;15,8
2,191;874,8;15,8
2,191;874,8;15,8
2,191;874,8;15,8
2,204;860,2;15,9
2,204;860,2;15,9
2,204;860,2;15,9
2,217;843,1;16
2,217;843,1;16
